Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
Alfredia-acantholepis_1	13100810	3929993	30	1054	1038	1036	1032	953	747	4	243	301	746	290	0	0
Carduus-acanthoides_866156	4966154	1447442	29.1	1056	1034	1031	1026	962	768	1	243	291	806	225	0	0
Carduus-carlinifolius_253	8254056	4268349	51.7	1049	1027	1024	1022	961	775	5	250	305	816	208	0	0
Carduus-cephalanthus_258	1828168	1244305	68.1	1020	910	891	847	580	324	0	29	50	602	289	0	0
Carduus-chrysacanthus_273	4088406	2067678	50.6	1043	1022	1017	1011	943	727	3	223	279	778	239	0	0
Carduus-collinus_WG633	8407606	5284176	62.8	1050	1037	1033	1030	978	824	5	359	448	805	228	0	0
Carduus-defloratus_BC9	4454204	1815330	40.8	1046	1026	1022	1019	954	764	2	252	295	817	205	0	0
Carduus-granatensis_255	6058868	2651950	43.8	1051	1029	1024	1019	934	713	1	197	259	746	278	0	0
Carduus-leptacanthus_WG123	3731462	1133019	30.4	1038	1014	1011	1007	945	762	1	230	273	815	196	0	0
Carduus-nigrescens_941129	8502152	3479200	40.9	1054	1039	1035	1033	984	820	5	298	357	861	174	0	0
Carduus-nyassanus_BR98	6454012	1797937	27.9	1048	1027	1023	1018	951	760	1	249	308	773	250	0	0
Carduus-schimperi_ellenbeckiiBR70	9955230	3960816	39.8	1051	1033	1030	1026	964	794	1	283	338	800	230	0	0
Carduus-seminudus_904076	6754952	1758711	26	1049	1033	1028	1023	964	774	2	255	304	825	203	0	0
Carduus-silvarum_GC445	1337458	162309	12.1	1029	887	882	869	739	540	1	124	160	681	201	0	0
Carduus-tenuiflorus_910999	5982012	1674477	28	1053	1028	1022	1018	942	747	2	432	576	717	305	0	0
Carduus-vivariensis_MA424	1542164	106175	6.9	1029	756	746	724	590	396	1	73	89	599	147	0	0
Cirsium-acaulon_259	5759650	2980288	51.7	1049	1027	1022	1016	937	729	0	194	258	746	276	0	0
Cirsium-adjaricum_TD3609	7080658	2754886	38.9	1048	1037	1032	1028	984	829	3	293	345	827	205	0	0
Cirsium-aduncum_MW212	4837722	705717	14.6	1046	1013	1008	1003	945	757	3	214	265	813	195	0	0
Cirsium-aduncum_TD5132	5746228	860636	15	1047	1017	1013	1009	954	788	3	258	314	803	210	0	0
Cirsium-aidzuense_FJ336	6181386	3450774	55.8	1052	1036	1030	1024	933	730	0	193	252	727	303	0	0
Cirsium-aitchisonii_V634	6419594	3119644	48.6	1048	1035	1030	1025	972	792	3	248	300	828	202	0	0
Cirsium-alatum_MW214	4531902	956542	21.1	1038	1014	1007	1001	948	777	2	221	261	832	175	0	0
Cirsium-alberti_PE243	2356268	1725537	73.2	1019	934	913	879	640	369	0	50	80	608	306	0	0
Cirsium-alpicola_FJ323	6169032	3253799	52.7	1047	1033	1030	1025	969	787	2	234	296	795	235	0	0
Cirsium-alsophilum_V635	6751546	4212338	62.4	1051	1033	1030	1024	976	814	4	268	313	843	187	0	0
Cirsium-altissimum_MA620	4676758	2317844	49.6	1049	1026	1022	1018	972	812	3	242	282	844	178	0	0
Cirsium-amani_T13	2986350	1558362	52.2	1046	1028	1021	1016	941	755	0	217	263	781	240	0	0
Cirsium-amplexifolium_FJ326	6406034	3237132	50.5	1049	1032	1027	1021	952	763	0	210	264	778	249	0	0
Cirsium-andersonii_36	2325026	998740	43	1035	1018	1018	1012	946	757	1	211	256	770	248	0	0
Cirsium-andrewsii_61	6179694	1108139	17.9	1045	1021	1020	1013	936	738	1	214	260	764	256	0	0
Cirsium-aomorense_FJ325	5556732	2562613	46.1	1046	1034	1029	1024	960	774	1	212	266	807	222	0	0
Cirsium-apiculatum_T18	3790770	2043721	53.9	1043	1025	1020	1014	944	729	1	201	255	762	258	0	0
Cirsium-appendiculatum_MW201	5118248	2451198	47.9	1044	1030	1027	1022	973	815	4	235	321	783	244	0	0
Cirsium-arachnoideum_MW190	7090994	3557229	50.2	1047	1032	1028	1023	979	825	5	268	330	835	193	0	0
Cirsium-argyracanthum_PE242	6745358	5130345	76.1	1033	1022	1017	1010	888	635	0	144	199	693	324	0	0
Cirsium-arizonicum_arizonicum84	5173812	1946633	37.6	1049	1024	1023	1017	938	742	1	221	282	749	274	0	0
Cirsium-arvense_871128	5123076	1324572	25.9	1050	1025	1021	1015	959	786	3	258	305	806	215	0	0
Cirsium-arvense_vestitumT34	4234398	1626415	38.4	1046	1025	1019	1012	958	767	2	229	279	801	218	0	0
Cirsium-aybarsii_T26	5987674	3568346	59.6	1048	1032	1026	1019	943	746	3	226	276	778	248	0	0
Cirsium-aytatchii_T35	5674420	2489707	43.9	1049	1028	1024	1020	963	787	2	244	296	808	216	0	0
Cirsium-baytopae_TD4933	4855266	1518534	31.3	1049	1029	1025	1021	969	809	4	267	318	848	177	0	0
Cirsium_boluense_T50	6008928	2019209	33.6	1047	1028	1022	1017	962	781	3	239	289	814	208	0	0
Cirsium-bornmuelleri_MW217	4159542	512069	12.3	1041	1000	997	992	920	725	2	197	240	795	202	0	0
Cirsium-boujartii_MW202	5446750	1837177	33.7	1049	1028	1023	1017	948	739	1	204	261	777	246	0	0
Cirsium-brachycephalum_MW203	4498474	1665408	37	1041	1023	1019	1014	968	785	2	234	272	813	206	0	0
Cirsium-bracteosum_T11	5582148	1221563	21.9	1049	1021	1017	1013	960	802	4	272	333	816	201	0	0
Cirsium-brevifolium_122	4738694	892539	18.8	1040	1019	1018	1012	943	741	1	208	256	755	263	0	0
Cirsium-brevipapposum_MW204	4148428	1875684	45.2	1048	1029	1026	1021	954	768	2	213	267	802	224	0	0
Cirsium-buchwaldii_GC438	1639758	246310	15	1038	899	888	879	760	553	1	232	285	677	211	0	0
Cirsium-buergeri_277	3734972	1766378	47.3	1044	1024	1019	1012	949	765	1	204	252	776	243	0	0
Cirsium-bulgaricum_T30	2711150	1062767	39.2	1041	1018	1012	1005	920	700	1	189	244	737	275	0	0
Cirsium-buschianum_MW189	4153846	1568796	37.8	1045	1026	1021	1016	974	813	4	256	311	830	191	0	0
Cirsium-candelabrum_WG138	4924338	1683353	34.2	1048	1024	1020	1015	964	772	2	224	264	829	191	0	0
Cirsium-canescens_16	3381062	805352	23.8	1039	1020	1018	1011	945	754	2	218	265	786	232	0	0
Cirsium-canum_260	5240648	2830127	54	1041	1029	1022	1016	949	739	1	209	258	784	238	0	0
Cirsium-canum_T51	2589588	694929	26.8	1037	1001	993	981	874	638	0	149	192	727	266	0	0
Cirsium-caputmedusae_MA621	5945684	2746772	46.2	1051	1028	1024	1017	959	774	1	249	308	804	220	0	0
Cirsium-carniolicum_WG139	4802914	1645924	34.3	1045	1022	1017	1012	954	776	2	229	278	798	219	0	0
Cirsium-cassium_BY16420	7111196	1564301	22	1052	1032	1028	1024	976	819	3	275	321	834	194	0	0
Cirsium-caucasicum_BY16329	5368082	1811394	33.7	1051	1035	1032	1027	982	827	4	283	330	846	186	0	0
Cirsium-cephalotes_TD5197	4367290	1399618	32	1044	1026	1023	1019	977	817	4	279	324	847	176	0	0
Cirsium-chlorocomos_MW188	7396878	3442827	46.5	1050	1035	1032	1027	982	820	3	286	341	831	201	0	0
Cirsium-ciliatum_MW219	8686896	1148792	13.2	1048	1022	1019	1015	960	789	5	223	271	843	176	0	0
Cirsium-ciliatum_szovitsiiT44	4648328	1504728	32.4	1043	1023	1019	1015	966	777	4	244	296	823	196	0	0
Cirsium-cilicicum_TD3447	6828724	3065821	44.9	1050	1033	1026	1021	963	784	4	255	325	801	225	0	0
Cirsium-congdonii_41	3086950	1127678	36.5	1038	1021	1020	1013	941	745	0	221	271	768	252	0	0
Cirsium-congestum_MW195	3409226	1072145	31.4	1046	1023	1018	1014	954	759	2	222	269	802	216	0	0
Cirsium-conspicuum_34	5341460	2185457	40.9	1042	1023	1022	1015	933	735	0	217	278	742	280	0	0
Cirsium-coryletorum_MW163	3961428	1440169	36.4	1047	1018	1014	1008	955	779	2	215	251	818	196	0	0
Cirsium-crassicaule_30	3811816	1325889	34.8	1044	1022	1021	1015	933	727	0	207	258	747	274	0	0
Cirsium-creticum_TD5233	5062278	1922035	38	1041	1028	1025	1023	980	824	5	281	318	863	162	0	0
Cirsium-davisianum_TD4900	6730510	2367672	35.2	1048	1031	1026	1022	977	812	4	270	328	821	205	0	0
Cirsium-dealbatum_MW187	8106458	4215538	52	1053	1035	1031	1026	978	812	5	258	317	810	221	0	0
